customer_id,product_id,demand,priority
C01,P02,71,High
C01,P03,86,Low
C01,P04,79,Medium
C01,P05,18,Medium
C02,P04,41,Medium
C02,P01,61,Medium
C03,P03,11,Medium
C03,P01,65,High
C04,P03,10,Medium
C04,P01,11,Medium
C05,P01,26,Medium
C05,P02,33,Medium
C05,P05,79,Medium
C06,P04,89,High
C06,P02,29,Medium
C06,P03,45,High
C06,P05,76,Low
C07,P03,48,Low
C07,P02,10,Medium
C07,P05,66,High
C07,P01,32,Medium
C08,P01,69,Medium
C08,P04,10,High
C08,P02,21,Medium
C09,P02,57,Low
C09,P04,29,Low
C09,P03,42,Medium
C09,P05,84,Low
C10,P01,98,Medium
C10,P05,27,High
C10,P03,91,Medium
C11,P03,42,Medium
C11,P02,57,Medium
C11,P04,17,Low
C11,P01,26,Medium
C12,P01,39,Low
C12,P04,60,Low
C12,P05,36,Medium
C12,P02,30,Medium
C13,P03,28,Medium
C13,P02,73,Medium
C13,P04,26,Low
C13,P05,39,Low
C14,P02,33,Medium
C14,P05,55,Low
C15,P02,94,High
C15,P05,42,Medium
C15,P03,27,Medium
C15,P01,63,Medium
