,name,lat,lon,customers,demand
0,cust0,37.64304394,139.76786501,"[16, 46, 102, 114, 166, 272, 307, 409, 413, 462, 505, 584, 624, 643, 658, 684, 708, 749, 829, 855, 871, 894, 906, 915, 924, 963, 979, 994]",8027830.054945054
1,cust1,33.22622157,131.584178,"[80, 144, 148, 188, 259, 276, 297, 316, 394, 399, 520, 591, 719, 767, 787, 844, 876, 903, 972]",5761103.846153848
2,cust2,34.62757372,133.87717702,"[209, 217, 221, 291, 305, 408, 420, 511, 529, 543, 596, 637, 681, 692, 740, 865, 899, 935, 959, 977, 980]",3453066.4560439563
3,cust3,35.82582622,139.98336138,"[37, 40, 55, 56, 68, 83, 98, 112, 139, 152, 153, 182, 195, 200, 208, 233, 254, 261, 263, 273, 278, 281, 287, 299, 312, 342, 344, 346, 348, 353, 358, 367, 387, 390, 393, 410, 422, 424, 428, 446, 464, 468, 479, 492, 493, 497, 510, 536, 550, 565, 566, 571, 574, 581, 598, 599, 604, 636, 644, 649, 693, 703, 704, 710, 712, 715, 741, 755, 771, 784, 788, 796, 797, 803, 807, 814, 817, 820, 827, 848, 893, 911, 914, 918, 919, 927, 928, 929, 934, 936, 947, 954, 969, 992, 998]",85121390.2884615
4,cust4,42.49058924,143.2786323,"[3, 6, 22, 53, 355, 383, 396, 526, 534, 663, 940, 946, 975]",1891262.541208791
5,cust5,35.43037766,136.26301833,"[20, 27, 75, 116, 117, 127, 178, 179, 204, 214, 241, 260, 270, 286, 366, 406, 467, 469, 481, 495, 498, 499, 513, 515, 544, 576, 593, 608, 638, 656, 675, 680, 682, 685, 732, 744, 766, 779, 782, 812, 822, 945, 951, 973, 978]",21298060.851648353
6,cust6,39.50881499,141.24983079,"[71, 84, 124, 141, 187, 201, 364, 439, 452, 460, 463, 625, 630, 953]",1602797.2252747254
7,cust7,39.88452013,140.6502711,"[49, 57, 58, 62, 64, 78, 105, 210, 225, 229, 405, 415, 471, 480, 533, 578, 579, 665, 717, 735, 780, 868, 908, 912, 937]",12805399.285714284
8,cust8,34.98063801,135.75310045,"[9, 17, 19, 25, 41, 48, 69, 81, 85, 99, 108, 109, 113, 120, 151, 158, 159, 211, 218, 238, 243, 252, 264, 266, 267, 283, 294, 351, 352, 365, 434, 443, 535, 549, 556, 573, 605, 614, 670, 678, 753, 756, 762, 774, 775, 793, 805, 811, 837, 839, 842, 843, 846, 849, 852, 875, 884, 891, 898, 902, 955, 974, 984]",27319182.07417582
9,cust9,35.46505167,134.72051126,"[61, 73, 94, 95, 118, 128, 138, 165, 323, 361, 400, 433, 475, 502, 509, 603, 659, 721, 781, 792, 873, 889, 930, 964, 982]",8199983.708791208
10,cust10,43.69495120000001,142.4370108,"[317, 501, 541, 580, 589, 686, 718, 791, 907]",2310372.788461538
11,cust11,35.07802482,138.87459631,"[194, 249, 268, 314, 343, 347, 360, 488, 575, 577, 586, 657, 672, 676, 697, 706, 709, 713, 724, 729, 745, 828]",10414663.324175822
