,id,day,day_of_week,day_type
0,0,2020-05-01,Fri,weekday
1,1,2020-05-02,Sat,weekday
2,2,2020-05-03,Holiday,holiday
3,3,2020-05-04,Holiday,holiday
4,4,2020-05-05,Holiday,holiday
5,5,2020-05-06,Holiday,holiday
6,6,2020-05-07,Thu,weekday
7,7,2020-05-08,Fri,weekday
8,8,2020-05-09,Sat,weekday
9,9,2020-05-10,Sun,sunday
10,10,2020-05-11,Mon,weekday
11,11,2020-05-12,Tue,weekday
12,12,2020-05-13,Wed,weekday
13,13,2020-05-14,Thu,weekday
14,14,2020-05-15,Fri,weekday
15,15,2020-05-16,Sat,weekday
16,16,2020-05-17,Sun,sunday
17,17,2020-05-18,Mon,weekday
18,18,2020-05-19,Tue,weekday
19,19,2020-05-20,Wed,weekday
20,20,2020-05-21,Thu,weekday
21,21,2020-05-22,Fri,weekday
22,22,2020-05-23,Sat,weekday
23,23,2020-05-24,Sun,sunday
24,24,2020-05-25,Mon,weekday
25,25,2020-05-26,Tue,weekday
26,26,2020-05-27,Wed,weekday
27,27,2020-05-28,Thu,weekday
28,28,2020-05-29,Fri,weekday
29,29,2020-05-30,Sat,weekday
