,from_node,to_node,prod,flow
0,Plnt_Chiba,DC_cust35,prod91,1719154.0
1,Plnt_Chiba,DC_cust3,prod28,1734276.4
2,Plnt_Chiba,DC_cust3,prod48,3463715.6
3,Plnt_Odawara,DC_cust19,prod81,528520.0
4,Plnt_Osaka,DC_cust8,prod34,2544807.1
5,Plnt_Osaka,DC_cust31,prod79,19383.104
6,Plnt_Odawara,DC_cust19,prod89,368632.95
7,Plnt_Odawara,DC_cust35,prod1,465083.2
8,Plnt_Chiba,DC_cust0,prod60,955661.25
9,Plnt_Odawara,DC_cust7,prod29,2006192.4
10,Plnt_Chiba,DC_cust19,prod43,1520791.6
11,Plnt_Chiba,DC_cust35,prod44,1043329.4
12,Plnt_Odawara,DC_cust31,prod28,14967.005
13,Plnt_Odawara,DC_cust31,prod48,30242.857
14,Plnt_Odawara,DC_cust7,prod68,629475.59
15,Plnt_Chiba,DC_cust35,prod98,1145185.5
16,Plnt_Osaka,DC_cust17,prod26,991113.38
17,Plnt_Odawara,DC_cust17,prod60,611889.41
18,Plnt_Chiba,DC_cust7,prod60,387551.79
19,Plnt_Chiba,DC_cust35,prod60,238255.76
20,Plnt_Osaka,DC_cust2,prod34,1676681.6
21,Plnt_Osaka,DC_cust17,prod34,908157.1
22,Plnt_Chiba,DC_cust3,prod63,2017918.5
23,Plnt_Osaka,DC_cust24,prod29,2119625.2
24,Plnt_Osaka,DC_cust17,prod74,1081891.1
25,Plnt_Odawara,DC_cust24,prod91,3061761.4
26,Plnt_Chiba,DC_cust19,prod28,310838.61
27,Plnt_Chiba,DC_cust19,prod48,618470.44
28,Plnt_Osaka,DC_cust24,prod68,665731.92
29,Plnt_Odawara,DC_cust31,prod71,29903.929
30,Plnt_Odawara,DC_cust7,prod26,631643.53
31,Plnt_Odawara,DC_cust16,prod71,572919.64
32,Plnt_Osaka,DC_cust31,prod23,18164.766
33,Plnt_Odawara,DC_cust3,prod29,4384911.5
34,Plnt_Odawara,DC_cust31,prod63,17482.898
35,Plnt_Odawara,DC_cust16,prod63,1662016.5
36,Plnt_Odawara,DC_cust7,prod34,578607.23
37,Plnt_Odawara,DC_cust3,prod68,2247807.4
38,Plnt_Odawara,DC_cust19,prod1,564350.16
39,Plnt_Osaka,DC_cust31,prod54,22522.706
40,Plnt_Odawara,DC_cust7,prod74,690150.82
41,Plnt_Odawara,DC_cust19,prod51,1180339.8
42,Plnt_Chiba,DC_cust19,prod71,612294.52
43,Plnt_Osaka,DC_cust24,prod26,668093.39
44,Plnt_Odawara,DC_cust24,prod60,410493.64
45,Plnt_Chiba,DC_cust3,prod73,1776661.6
46,Plnt_Odawara,DC_cust0,prod26,1551990.0
47,Plnt_Chiba,DC_cust19,prod63,361295.85
48,Plnt_Osaka,DC_cust24,prod34,611876.37
49,Plnt_Osaka,DC_cust31,prod81,25772.61
50,Plnt_Odawara,DC_cust3,prod26,2256527.3
51,Plnt_Odawara,DC_cust8,prod63,2328666.9
52,Plnt_Odawara,DC_cust0,prod74,2606529.2
53,Plnt_Odawara,DC_cust3,prod34,2066130.6
54,Plnt_Odawara,DC_cust31,prod73,15231.731
55,Plnt_Odawara,DC_cust16,prod73,1463793.4
56,Plnt_Osaka,DC_cust16,prod51,6434255.1
57,Plnt_Odawara,DC_cust3,prod74,1217849.6
58,Plnt_Osaka,DC_cust30,prod68,1008023.7
59,Plnt_Odawara,DC_cust16,prod46,7058959.9
60,Plnt_Odawara,DC_cust31,prod39,17271.319
61,Plnt_Odawara,DC_cust16,prod39,2395213.2
62,Plnt_Chiba,DC_cust0,prod46,16614509.0
63,Plnt_Chiba,DC_cust19,prod73,318495.59
64,Plnt_Osaka,DC_cust16,prod79,2183370.8
65,Plnt_Osaka,DC_cust30,prod26,933730.16
66,Plnt_Chiba,DC_cust3,prod91,11276975.0
67,Plnt_Odawara,DC_cust8,prod73,2050724.4
68,Plnt_Chiba,DC_cust19,prod39,358296.63
69,Plnt_Osaka,DC_cust8,prod51,7628688.5
70,Plnt_Chiba,DC_cust7,prod46,3976968.8
71,Plnt_Odawara,DC_cust0,prod54,1738780.4
72,Plnt_Osaka,DC_cust31,prod1,27534.437
73,Plnt_Odawara,DC_cust19,prod23,377277.64
74,Plnt_Osaka,DC_cust30,prod74,1104769.8
75,Plnt_Chiba,DC_cust3,prod44,7047042.0
76,Plnt_Odawara,DC_cust31,prod91,102204.01
77,Plnt_Odawara,DC_cust8,prod39,1327534.1
78,Plnt_Chiba,DC_cust3,prod98,7732800.8
79,Plnt_Odawara,DC_cust0,prod81,1730690.6
80,Plnt_Odawara,DC_cust0,prod89,1259185.8
81,Plnt_Osaka,DC_cust8,prod79,2352044.0
82,Plnt_Chiba,DC_cust3,prod60,1631254.2
83,Plnt_Odawara,DC_cust16,prod43,1424708.3
84,Plnt_Odawara,DC_cust31,prod44,61986.827
85,Plnt_Odawara,DC_cust16,prod44,5796222.1
86,Plnt_Odawara,DC_cust30,prod71,1307778.0
87,Plnt_Chiba,DC_cust0,prod43,8534164.3
88,Plnt_Odawara,DC_cust31,prod98,68031.387
89,Plnt_Odawara,DC_cust16,prod98,6359754.0
90,Plnt_Chiba,DC_cust19,prod91,2062181.8
91,Plnt_Odawara,DC_cust2,prod46,15475800.0
92,Plnt_Odawara,DC_cust2,prod39,1322320.8
93,Plnt_Osaka,DC_cust16,prod54,2514200.2
94,Plnt_Osaka,DC_cust30,prod54,985948.23
95,Plnt_Odawara,DC_cust35,prod29,1244212.8
96,Plnt_Chiba,DC_cust19,prod44,1255481.7
97,Plnt_Chiba,DC_cust7,prod43,2040576.6
98,Plnt_Odawara,DC_cust16,prod28,1428985.0
99,Plnt_Odawara,DC_cust16,prod48,2851109.3
100,Plnt_Osaka,DC_cust2,prod26,1549386.9
101,Plnt_Odawara,DC_cust35,prod68,387868.65
102,Plnt_Chiba,DC_cust19,prod98,1377207.2
103,Plnt_Osaka,DC_cust17,prod79,839822.88
104,Plnt_Chiba,DC_cust0,prod28,1015738.8
105,Plnt_Chiba,DC_cust0,prod48,2026525.1
106,Plnt_Osaka,DC_cust16,prod81,2875860.1
107,Plnt_Osaka,DC_cust30,prod81,1041380.1
108,Plnt_Odawara,DC_cust8,prod44,8115640.6
109,Plnt_Chiba,DC_cust19,prod60,292485.33
110,Plnt_Osaka,DC_cust2,prod74,3028231.5
111,Plnt_Osaka,DC_cust16,prod89,2002888.4
112,Plnt_Osaka,DC_cust30,prod89,785236.33
113,Plnt_Odawara,DC_cust8,prod98,8904209.1
114,Plnt_Odawara,DC_cust17,prod48,1292829.0
115,Plnt_Odawara,DC_cust0,prod1,1848415.2
116,Plnt_Chiba,DC_cust7,prod28,412265.49
117,Plnt_Chiba,DC_cust7,prod48,825730.27
118,Plnt_Odawara,DC_cust7,prod79,534219.62
119,Plnt_Odawara,DC_cust35,prod26,389574.33
120,Plnt_Odawara,DC_cust0,prod51,3873121.3
121,Plnt_Osaka,DC_cust8,prod54,2707626.2
122,Plnt_Chiba,DC_cust0,prod71,3429395.6
123,Plnt_Odawara,DC_cust8,prod28,2001777.3
124,Plnt_Odawara,DC_cust8,prod48,3625892.0
125,Plnt_Odawara,DC_cust35,prod34,356373.37
126,Plnt_Odawara,DC_cust30,prod46,6345650.3
127,Plnt_Odawara,DC_cust2,prod43,8928915.8
128,Plnt_Chiba,DC_cust0,prod63,1181255.3
129,Plnt_Odawara,DC_cust30,prod39,763118.74
130,Plnt_Odawara,DC_cust35,prod74,426071.32
131,Plnt_Odawara,DC_cust17,prod71,1279503.5
132,Plnt_Odawara,DC_cust19,prod29,1495577.5
133,Plnt_Osaka,DC_cust8,prod81,3097206.5
134,Plnt_Osaka,DC_cust24,prod79,564997.94
135,Plnt_Chiba,DC_cust7,prod71,817201.91
136,Plnt_Odawara,DC_cust19,prod68,472396.24
137,Plnt_Odawara,DC_cust17,prod63,755379.53
138,Plnt_Osaka,DC_cust8,prod89,2157242.3
139,Plnt_Odawara,DC_cust0,prod79,1313751.3
140,Plnt_Osaka,DC_cust2,prod54,1708329.4
141,Plnt_Chiba,DC_cust7,prod63,480049.2
142,Plnt_Osaka,DC_cust17,prod54,966125.92
143,Plnt_Odawara,DC_cust3,prod79,1909346.1
144,Plnt_Osaka,DC_cust24,prod74,4161153.4
145,Plnt_Odawara,DC_cust2,prod28,1013220.9
146,Plnt_Odawara,DC_cust2,prod48,2289342.2
147,Plnt_Osaka,DC_cust16,prod1,3070794.1
148,Plnt_Osaka,DC_cust30,prod1,1112179.1
149,Plnt_Osaka,DC_cust30,prod51,2331078.5
150,Plnt_Odawara,DC_cust19,prod26,474083.86
151,Plnt_Osaka,DC_cust2,prod81,2041178.3
152,Plnt_Chiba,DC_cust0,prod73,1040161.8
153,Plnt_Osaka,DC_cust17,prod81,1104599.3
154,Plnt_Odawara,DC_cust7,prod54,615620.63
155,Plnt_Osaka,DC_cust2,prod89,1360282.8
156,Plnt_Osaka,DC_cust17,prod89,770559.12
157,Plnt_Odawara,DC_cust19,prod34,434552.55
158,Plnt_Odawara,DC_cust24,prod71,5945864.0
159,Plnt_Odawara,DC_cust17,prod73,665868.3
160,Plnt_Odawara,DC_cust30,prod43,3257821.5
161,Plnt_Odawara,DC_cust2,prod71,3584625.9
162,Plnt_Odawara,DC_cust19,prod74,517739.46
163,Plnt_Chiba,DC_cust0,prod39,1224012.5
164,Plnt_Chiba,DC_cust7,prod73,422637.91
165,Plnt_Odawara,DC_cust24,prod63,507915.55
166,Plnt_Odawara,DC_cust2,prod63,1178445.6
167,Plnt_Odawara,DC_cust0,prod23,1897503.6
168,Plnt_Odawara,DC_cust7,prod81,704785.92
169,Plnt_Osaka,DC_cust30,prod79,790262.1
170,Plnt_Osaka,DC_cust8,prod1,3641810.6
171,Plnt_Osaka,DC_cust24,prod54,651307.4
172,Plnt_Odawara,DC_cust17,prod46,6180119.8
173,Plnt_Odawara,DC_cust7,prod89,489631.46
174,Plnt_Odawara,DC_cust17,prod39,749232.69
175,Plnt_Odawara,DC_cust35,prod89,301600.3
176,Plnt_Chiba,DC_cust35,prod46,2470279.9
177,Plnt_Chiba,DC_cust7,prod39,475921.9
178,Plnt_Chiba,DC_cust35,prod39,293063.91
179,Plnt_Odawara,DC_cust30,prod28,610721.21
180,Plnt_Odawara,DC_cust30,prod48,1321416.3
181,Plnt_Odawara,DC_cust3,prod54,1973723.8
182,Plnt_Osaka,DC_cust31,prod29,73911.497
183,Plnt_Osaka,DC_cust24,prod81,745086.33
