rank,prod,agg_std,sum_std,reduction,reduction_ratio
24,prod60,64988.08893956408,65379.739391034185,391.65045147010824,4.224104660926455e-05
23,prod28,69052.86042644973,69432.03040575514,379.169979305414,3.8473447090461694e-05
22,prod73,70742.6034711006,71113.57048006718,370.9670089665742,3.674473775159326e-05
21,prod39,79618.98040678925,79969.43300652361,350.45259973435896,3.0823270269221675e-05
20,prod63,80307.07352828761,80656.92899010135,349.8554618137423,3.0515120672481978e-05
19,prod89,81892.85045663582,82242.61655728307,349.7661006472481,2.9904547594472564e-05
18,prod23,83837.43056451368,84179.91309985987,342.4825353461929,2.8602595924085663e-05
17,prod79,89247.58166513797,89575.60919340975,328.02752827177756,2.5723585958384323e-05
16,prod34,96548.6339076077,96863.79517885596,315.16127124826016,2.2837612753593818e-05
15,prod54,102713.94023203394,103020.19049129596,306.2502592620149,2.0854051808557604e-05
14,prod68,104990.25374286553,105295.58224048457,305.32849761903344,2.0341975631004087e-05
13,prod26,105352.61965845524,105654.99937057287,302.37971211763215,2.007110534143821e-05
12,prod74,115031.70971673359,115313.98125939927,282.2715426656796,1.715548058697885e-05
11,prod81,117447.32207884219,117726.98648153846,279.6644026962749,1.664683827827452e-05
10,prod1,125404.38695636042,125678.58018979842,274.19323343799624,1.528108263612891e-05
9,prod71,136060.87911893544,136321.21593117484,260.3368122394022,1.3368822318825746e-05
8,prod48,137455.48819282293,137717.60411911053,262.11592628760263,1.332245744137392e-05
7,prod51,262190.37709127204,262364.1508541122,173.77376284013735,4.620157051631302e-06
6,prod44,278895.23363077344,279067.2849512626,172.05132048914675,4.29993938866712e-06
5,prod98,305971.86870045523,306131.83200498956,159.96330453432165,3.643414245348023e-06
4,prod29,332172.3276363804,332326.4229273054,154.09529092500452,3.231985997060338e-06
3,prod43,337822.3935306627,337971.7193063962,149.32577573350864,3.0795985361434686e-06
2,prod91,458028.1452385951,458151.9328596236,123.7876210284885,1.881853324242014e-06
1,prod46,657120.2943745722,657217.0039570964,96.7095825241413,1.0242469403853834e-06
