,index,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,name,weight,volume,cust_value,dc_value,plnt_value,fixed_cost,demand,rank,abc,average_demand,standard_deviation,inv_cost,lot_size,safety_inventory,target_inventory,initial_inventory
0,0,0,0,0,0,0,prod1,5,0,5,2,1,173318,17943312,9,A,345063.6923076923,125404.38695636042,0.0057692307692307696,4553313.042328629,206917.2384779947,4760230.280806623,2483573.0
1,1,1,1,1,1,1,prod23,1,0,7,2,1,132883,11973827,17,A,230265.90384615384,83837.43056451368,0.0057692307692307696,3256908.609137403,138331.76043144756,3395240.3695688504,1766786.0
2,2,2,2,2,2,2,prod26,5,0,7,2,1,122017,15065424,12,A,289719.6923076923,105352.61965845524,0.0057692307692307696,3500702.634432122,173831.82243645113,3674534.456868573,1924183.0
3,3,3,3,3,3,3,prod28,4,0,6,2,1,146786,9855368,22,A,189526.3076923077,69052.86042644973,0.0057692307692307696,3105511.2807695074,113937.21970364204,3219448.5004731496,1666692.0
4,4,4,4,4,4,4,prod29,2,0,7,2,1,164331,47678205,3,A,916888.5576923077,332172.3276363804,0.0057692307692307696,7227266.475348754,548084.3406000276,7775350.815948782,4161717.0
5,5,5,5,5,5,5,prod34,4,0,7,2,1,150234,13800097,15,A,265386.48076923075,96548.6339076077,0.0057692307692307696,3717744.632343647,159305.2459475527,3877049.8782912,2018177.0
6,6,6,6,6,6,6,prod39,2,0,6,2,1,115475,11369741,20,A,218648.86538461538,79618.98040678925,0.0057692307692307696,2958514.0887220167,131371.31767120227,3089885.406393219,1610628.0
7,7,7,7,7,7,7,prod43,1,0,5,2,1,171471,48488715,2,A,932475.2884615385,337822.3935306627,0.0057692307692307696,7445091.649207551,557406.9493255934,8002498.598533144,4279952.0
8,8,8,8,8,8,8,prod44,4,0,6,2,1,138851,40012499,5,A,769471.1346153846,278895.23363077344,0.0057692307692307696,6085926.661103194,460177.13549077616,6546103.79659397,3503140.0
9,9,9,9,9,9,9,prod46,1,0,6,2,1,199754,94420182,0,A,1815772.7307692308,657120.2943745722,0.0057692307692307696,11213328.092119662,1084248.4857180442,12297576.577837706,6690912.0
10,10,10,10,10,10,10,prod48,3,0,6,2,1,185116,19674743,7,A,378360.4423076923,137455.48819282293,0.0057692307692307696,4927548.224142848,226801.5555181578,5154349.779661005,2690575.0
11,11,11,11,11,11,11,prod51,5,0,9,2,1,165584,37612090,6,A,723309.4230769231,262190.37709127204,0.0057692307692307696,6443580.94569575,432614.1222005988,6876195.067896349,3654404.0
12,12,12,12,12,12,12,prod54,2,0,7,2,1,140796,14685408,14,A,282411.6923076923,102713.94023203394,0.0057692307692307696,3712722.9044355033,169478.001382856,3882200.9058183595,2025839.0
13,13,13,13,13,13,13,prod60,4,0,9,2,1,169257,9271798,23,A,178303.8076923077,64988.08893956408,0.0057692307692307696,3234518.7319352473,107230.34675028072,3341749.078685528,1724489.0
14,14,14,14,14,14,14,prod63,4,0,6,2,1,116239,11464987,19,A,220480.51923076922,80307.07352828761,0.0057692307692307696,2980691.8927132785,132506.67132167454,3113198.5640349532,1622852.0
15,15,15,15,15,15,15,prod68,3,0,5,2,1,139950,15009776,13,A,288649.53846153844,104990.25374286553,0.0057692307692307696,3742208.0391127374,173233.9186757281,3915441.9577884655,2044337.0
16,16,16,16,16,16,16,prod71,1,0,8,2,1,144481,19473429,8,A,374489.01923076925,136060.87911893544,0.0057692307692307696,4330927.918548171,224500.45054624346,4555428.369094415,2389964.0
17,17,17,17,17,17,17,prod73,5,0,6,2,1,189576,10095786,21,A,194149.73076923078,70742.6034711006,0.0057692307692307696,3572038.3786068144,116725.295727316,3688763.6743341302,1902744.0
18,18,18,18,18,18,18,prod74,1,0,7,2,1,174896,16453724,11,A,316417.76923076925,115031.70971673359,0.0057692307692307696,4380023.221174366,189802.3210326104,4569825.542206977,2379813.0
19,19,19,19,19,19,19,prod79,4,0,5,2,1,150120,12752014,16,A,245231.03846153847,89247.58166513797,0.0057692307692307696,3572424.3324666796,147258.50974747766,3719682.8422141573,1933470.0
20,20,20,20,20,20,20,prod81,4,0,9,2,1,172992,16799851,10,A,323074.0576923077,117447.32207884219,0.0057692307692307696,4401696.509447238,193788.0814300896,4595484.590877328,2394636.0
21,21,21,21,21,21,21,prod89,2,0,9,2,1,166972,11696084,18,A,224924.6923076923,81892.85045663582,0.0057692307692307696,3608248.4556434485,135123.2032534491,3743371.6588968975,1939247.0
22,22,22,22,22,22,22,prod91,2,0,8,2,1,160500,65779633,1,A,1264992.9423076923,458028.1452385951,0.0057692307692307696,8389529.623882378,755746.4396436819,9145276.063526059,4950511.0
23,23,23,23,23,23,23,prod98,5,0,10,2,1,192129,43904781,4,A,844322.7115384615,305971.86870045523,0.0057692307692307696,7499058.460344205,504853.5833557511,8003912.043699956,4254382.0
