name,weight,volume,cust_value,dc_value,plnt_value,fixed_cost
prod0,2,0,7,2,1,198248
prod1,5,0,5,2,1,173318
prod2,1,0,6,2,1,100525
prod3,3,0,9,2,1,124882
prod4,1,0,10,2,1,169253
prod5,4,0,8,2,1,157510
prod6,4,0,9,2,1,175901
prod7,4,0,6,2,1,102757
prod8,4,0,8,2,1,104038
prod9,2,0,5,2,1,182251
prod10,1,0,10,2,1,179380
prod11,4,0,8,2,1,131750
prod12,1,0,7,2,1,134130
prod13,4,0,9,2,1,127080
prod14,4,0,8,2,1,122656
prod15,5,0,5,2,1,137326
prod16,1,0,7,2,1,119452
prod17,4,0,9,2,1,171085
prod18,3,0,8,2,1,126273
prod19,2,0,7,2,1,135812
prod20,5,0,5,2,1,140781
prod21,1,0,6,2,1,176773
prod22,3,0,6,2,1,199276
prod23,1,0,7,2,1,132883
prod24,1,0,9,2,1,189591
prod25,1,0,6,2,1,158510
prod26,5,0,7,2,1,122017
prod27,1,0,8,2,1,171483
prod28,4,0,6,2,1,146786
prod29,2,0,7,2,1,164331
prod30,4,0,10,2,1,155045
prod31,1,0,5,2,1,115964
prod32,5,0,8,2,1,127386
prod33,2,0,9,2,1,174782
prod34,4,0,7,2,1,150234
prod35,4,0,10,2,1,126846
prod36,5,0,9,2,1,137230
prod37,2,0,8,2,1,114174
prod38,3,0,9,2,1,103165
prod39,2,0,6,2,1,115475
prod40,2,0,5,2,1,174620
prod41,4,0,10,2,1,197945
prod42,3,0,5,2,1,101732
prod43,1,0,5,2,1,171471
prod44,4,0,6,2,1,138851
prod45,5,0,6,2,1,188331
prod46,1,0,6,2,1,199754
prod47,2,0,9,2,1,194937
prod48,3,0,6,2,1,185116
prod49,1,0,7,2,1,117903
prod50,3,0,7,2,1,109854
prod51,5,0,9,2,1,165584
prod52,4,0,9,2,1,148985
prod53,5,0,7,2,1,175048
prod54,2,0,7,2,1,140796
prod55,3,0,7,2,1,157300
prod56,3,0,7,2,1,165933
prod57,5,0,5,2,1,188770
prod58,4,0,7,2,1,146768
prod59,5,0,6,2,1,199432
prod60,4,0,9,2,1,169257
prod61,5,0,10,2,1,142426
prod62,1,0,8,2,1,100110
prod63,4,0,6,2,1,116239
prod64,2,0,9,2,1,157975
prod65,4,0,9,2,1,194105
prod66,4,0,5,2,1,158923
prod67,2,0,7,2,1,145903
prod68,3,0,5,2,1,139950
prod69,5,0,8,2,1,170686
prod70,3,0,5,2,1,152350
prod71,1,0,8,2,1,144481
prod72,4,0,6,2,1,195831
prod73,5,0,6,2,1,189576
prod74,1,0,7,2,1,174896
prod75,2,0,5,2,1,164526
prod76,5,0,9,2,1,114823
prod77,4,0,9,2,1,184891
prod78,3,0,8,2,1,149487
prod79,4,0,5,2,1,150120
prod80,1,0,9,2,1,126727
prod81,4,0,9,2,1,172992
prod82,1,0,6,2,1,100507
prod83,3,0,9,2,1,136388
prod84,5,0,5,2,1,183300
prod85,5,0,7,2,1,178402
prod86,5,0,7,2,1,194671
prod87,4,0,7,2,1,196805
prod88,2,0,9,2,1,195470
prod89,2,0,9,2,1,166972
prod90,5,0,5,2,1,126067
prod91,2,0,8,2,1,160500
prod92,1,0,7,2,1,178752
prod93,2,0,5,2,1,167752
prod94,5,0,5,2,1,153603
prod95,5,0,7,2,1,197600
prod96,2,0,5,2,1,193340
prod97,4,0,9,2,1,140021
prod98,5,0,10,2,1,192129
prod99,3,0,5,2,1,122323
