,from_id,to_id,from,to,flow,number
0,0,1,札幌市,青森市,1951.5561980856091,2.0
1,0,2,札幌市,盛岡市,983.4116403266224,1.0
2,0,3,札幌市,仙台市,953.3274138920904,1.0
3,1,0,青森市,札幌市,366.911869848305,1.0
4,1,2,青森市,盛岡市,1744.1039657440585,2.0
5,1,4,青森市,秋田市,999.6651005510303,1.0
6,2,0,盛岡市,札幌市,897.8078161645615,1.0
7,2,1,盛岡市,青森市,1725.6396417051815,2.0
8,2,3,盛岡市,仙台市,2955.325475333851,3.0
9,2,4,盛岡市,秋田市,1307.144679586273,2.0
10,3,2,仙台市,盛岡市,2940.335743050943,3.0
11,3,5,仙台市,山形市,2057.4630424991733,3.0
12,3,6,仙台市,福島市,5960.054651783612,6.0
13,4,2,秋田市,盛岡市,845.9462549553339,1.0
14,4,3,秋田市,仙台市,776.6265692485739,1.0
15,4,5,秋田市,山形市,777.5657011693606,1.0
16,5,3,山形市,仙台市,1772.0194080565095,2.0
17,5,6,山形市,福島市,1938.6593302973756,2.0
18,6,0,福島市,札幌市,892.1683643082797,1.0
19,6,2,福島市,盛岡市,924.586469632045,1.0
20,6,3,福島市,仙台市,2656.5003268835067,3.0
21,6,4,福島市,秋田市,849.0366456677873,1.0
22,6,5,福島市,山形市,2200.09097745581,3.0
23,6,7,福島市,水戸市,2339.3461991938916,3.0
24,6,8,福島市,宇都宮市,3743.389375933015,4.0
25,7,6,水戸市,福島市,2896.2864109714224,3.0
26,7,8,水戸市,宇都宮市,3307.090265014194,4.0
27,8,3,宇都宮市,仙台市,957.3346703075658,1.0
28,8,6,宇都宮市,福島市,1934.004267683476,2.0
29,8,7,宇都宮市,水戸市,1872.5103806759855,2.0
30,8,9,宇都宮市,前橋市,3860.305302026031,4.0
31,9,6,前橋市,福島市,929.8046358045822,1.0
32,9,7,前橋市,水戸市,848.5991351988031,1.0
33,9,8,前橋市,宇都宮市,1932.4486904866276,2.0
