Cust,Prod,demand
1,32,0.0
1,1,0.0
1,36,0.0
1,5,0.0
1,38,0.0
1,133,0.0
1,362,0.0
1,44,0.0
10242,32,0.0
10242,1,0.0
10242,36,0.0
10242,5,0.0
10242,38,0.0
10242,133,0.0
10242,362,0.0
10242,44,9600.0
7909381,32,25601.0
7909381,1,34452.0
7909381,36,31019.0
7909381,5,17643.0
7909381,38,21175.0
7909381,133,15436.0
7909381,362,30848.0
7909381,44,36162.0
6157,32,112.0
6157,1,1.0
6157,36,25.0
6157,5,0.0
6157,38,4.0
6157,133,0.0
6157,362,1.0
6157,44,12.0
7909390,32,40130.0
7909390,1,4844.0
7909390,36,6588.0
7909390,5,2300.0
7909390,38,7511.0
7909390,133,2066.0
7909390,362,8327.0
7909390,44,58443.0
9750541,32,0.0
9750541,1,3960.0
9750541,36,0.0
9750541,5,0.0
9750541,38,0.0
9750541,133,0.0
9750541,362,0.0
9750541,44,0.0
28688,32,387.0
28688,1,457.0
28688,36,0.0
28688,5,488.0
28688,38,11.0
28688,133,0.0
28688,362,309.0
28688,44,0.0
22545,32,0.0
22545,1,0.0
22545,36,0.0
22545,5,0.0
22545,38,0.0
22545,133,0.0
22545,362,0.0
22545,44,13440.0
14354,32,158.0
14354,1,8.0
14354,36,218.0
14354,5,1.0
14354,38,33.0
14354,133,0.0
14354,362,17.0
14354,44,30.0
13,32,0.0
13,1,0.0
13,36,0.0
13,5,0.0
13,38,0.0
13,133,0.0
13,362,0.0
13,44,0.0
9750550,32,0.0
9750550,1,0.0
9750550,36,0.0
9750550,5,0.0
9750550,38,27596.0
9750550,133,0.0
9750550,362,0.0
9750550,44,0.0
16411,32,6370.0
16411,1,489.0
16411,36,1270.0
16411,5,129.0
16411,38,656.0
16411,133,7.0
16411,362,4199.0
16411,44,1182.0
14370,32,282.0
14370,1,6.0
14370,36,89.0
14370,5,19.0
14370,38,12.0
14370,133,5.0
14370,362,41.0
14370,44,53.0
18467,32,0.0
18467,1,0.0
18467,36,0.0
18467,5,0.0
18467,38,0.0
18467,133,0.0
18467,362,0.0
18467,44,12920.0
118818,32,85.0
118818,1,34.0
118818,36,114.0
118818,5,0.0
118818,38,34.0
118818,133,13.0
118818,362,21.0
118818,44,64.0
9322531,32,754.0
9322531,1,0.0
9322531,36,2070.0
9322531,5,0.0
9322531,38,0.0
9322531,133,0.0
9322531,362,0.0
9322531,44,0.0
1382438,32,146.0
1382438,1,23.0
1382438,36,55.0
1382438,5,0.0
1382438,38,6.0
1382438,133,0.0
1382438,362,4.0
1382438,44,20.0
18471,32,0.0
18471,1,0.0
18471,36,0.0
18471,5,0.0
18471,38,0.0
18471,133,0.0
18471,362,0.0
18471,44,8160.0
5404711,32,4093.0
5404711,1,21.0
5404711,36,287.0
5404711,5,0.0
5404711,38,170.0
5404711,133,0.0
5404711,362,150.0
5404711,44,2001.0
9568298,32,0.0
9568298,1,0.0
9568298,36,0.0
9568298,5,0.0
9568298,38,0.0
9568298,133,0.0
9568298,362,0.0
9568298,44,7.0
18476,32,0.0
18476,1,0.0
18476,36,0.0
18476,5,0.0
18476,38,0.0
18476,133,0.0
18476,362,0.0
18476,44,6680.0
7634994,32,710.0
7634994,1,878.0
7634994,36,0.0
7634994,5,922.0
7634994,38,29.0
7634994,133,0.0
7634994,362,533.0
7634994,44,0.0
53,32,0.0
53,1,0.0
53,36,0.0
53,5,0.0
53,38,0.0
53,133,0.0
53,362,0.0
53,44,0.0
16438,32,7.0
16438,1,0.0
16438,36,10.0
16438,5,0.0
16438,38,3.0
16438,133,0.0
16438,362,0.0
16438,44,0.0
8247,32,7379.0
8247,1,26.0
8247,36,1723.0
8247,5,0.0
8247,38,878.0
8247,133,5.0
8247,362,5382.0
8247,44,79.0
8250,32,1839.0
8250,1,30.0
8250,36,1559.0
8250,5,5.0
8250,38,490.0
8250,133,115.0
8250,362,887.0
8250,44,655.0
7839804,32,24.0
7839804,1,0.0
7839804,36,0.0
7839804,5,0.0
7839804,38,0.0
7839804,133,0.0
7839804,362,0.0
7839804,44,0.0
14397,32,2.0
14397,1,0.0
14397,36,9.0
14397,5,0.0
14397,38,0.0
14397,133,0.0
14397,362,0.0
14397,44,2.0
8254,32,34056.0
8254,1,0.0
8254,36,0.0
8254,5,0.0
8254,38,250.0
8254,133,0.0
8254,362,0.0
8254,44,18985.0
6946879,32,1087.0
6946879,1,1196.0
6946879,36,44.0
6946879,5,16.0
6946879,38,3.0
6946879,133,210.0
6946879,362,166.0
6946879,44,48.0
9490493,32,622.0
9490493,1,105.0
9490493,36,284.0
9490493,5,30.0
9490493,38,31.0
9490493,133,100.0
9490493,362,330.0
9490493,44,1109.0
6225985,32,491.0
6225985,1,140.0
6225985,36,1232.0
6225985,5,2.0
6225985,38,102.0
6225985,133,9.0
6225985,362,214.0
6225985,44,153.0
7635010,32,523.0
7635010,1,589.0
7635010,36,0.0
7635010,5,611.0
7635010,38,20.0
7635010,133,0.0
7635010,362,408.0
7635010,44,0.0
9631810,32,510.0
9631810,1,760.0
9631810,36,0.0
9631810,5,805.0
9631810,38,20.0
9631810,133,0.0
9631810,362,381.0
9631810,44,0.0
9216073,32,42349.0
9216073,1,12091.0
9216073,36,17090.0
9216073,5,7315.0
9216073,38,6620.0
9216073,133,4055.0
9216073,362,11003.0
9216073,44,56596.0
22606,32,795.0
22606,1,336.0
22606,36,56.0
22606,5,253.0
22606,38,0.0
22606,133,251.0
22606,362,383.0
22606,44,770.0
7811152,32,374.0
7811152,1,27.0
7811152,36,78.0
7811152,5,10.0
7811152,38,0.0
7811152,133,30.0
7811152,362,0.0
7811152,44,832.0
9193553,32,9139.0
9193553,1,0.0
9193553,36,8374.0
9193553,5,0.0
9193553,38,416.0
9193553,133,5826.0
9193553,362,7527.0
9193553,44,11025.0
81,32,0.0
81,1,0.0
81,36,0.0
81,5,0.0
81,38,0.0
81,133,0.0
81,362,0.0
81,44,0.0
83,32,0.0
83,1,0.0
83,36,0.0
83,5,0.0
83,38,0.0
83,133,0.0
83,362,0.0
83,44,0.0
30805,32,10064.0
30805,1,1188.0
30805,36,5373.0
30805,5,121.0
30805,38,765.0
30805,133,413.0
30805,362,1585.0
30805,44,3952.0
22616,32,20744.0
22616,1,14926.0
22616,36,18127.0
22616,5,9142.0
22616,38,4952.0
22616,133,1750.0
22616,362,12341.0
22616,44,24504.0
12377,32,5908.0
12377,1,0.0
12377,36,4082.0
12377,5,0.0
12377,38,1192.0
12377,133,3727.0
12377,362,6111.0
12377,44,9468.0
14427,32,421.0
14427,1,68.0
14427,36,420.0
14427,5,23.0
14427,38,104.0
14427,133,29.0
14427,362,212.0
14427,44,115.0
6237,32,5347.0
6237,1,1402.0
6237,36,106.0
6237,5,258.0
6237,38,15.0
6237,133,1794.0
6237,362,256.0
6237,44,36.0
30813,32,2370.0
30813,1,370.0
30813,36,1209.0
30813,5,44.0
30813,38,167.0
30813,133,231.0
30813,362,200.0
30813,44,701.0
10339,32,741.0
10339,1,278.0
10339,36,0.0
10339,5,0.0
10339,38,0.0
10339,133,0.0
10339,362,0.0
10339,44,0.0
9111654,32,19848.0
9111654,1,0.0
9111654,36,579.0
9111654,5,0.0
9111654,38,3962.0
9111654,133,0.0
9111654,362,1909.0
9111654,44,36212.0
7915624,32,30.0
7915624,1,30.0
7915624,36,0.0
7915624,5,0.0
7915624,38,0.0
7915624,133,83.0
7915624,362,17.0
7915624,44,486.0
14443,32,128.0
14443,1,2.0
14443,36,120.0
14443,5,0.0
14443,38,4.0
14443,133,5.0
14443,362,55.0
14443,44,41.0
9812075,32,0.0
9812075,1,2802.0
9812075,36,0.0
9812075,5,0.0
9812075,38,0.0
9812075,133,0.0
9812075,362,0.0
9812075,44,0.0
107,32,0.0
107,1,0.0
107,36,0.0
107,5,0.0
107,38,0.0
107,133,0.0
107,362,0.0
107,44,0.0
9347186,32,5826.0
9347186,1,0.0
9347186,36,3723.0
9347186,5,0.0
9347186,38,1130.0
9347186,133,2348.0
9347186,362,5255.0
9347186,44,9862.0
14451,32,75.0
14451,1,9.0
14451,36,27.0
14451,5,0.0
14451,38,12.0
14451,133,0.0
14451,362,0.0
14451,44,5.0
24694,32,107.0
24694,1,22.0
24694,36,115.0
24694,5,0.0
24694,38,22.0
24694,133,0.0
24694,362,12.0
24694,44,5.0
28797,32,246.0
28797,1,249.0
28797,36,277.0
28797,5,1.0
28797,38,79.0
28797,133,68.0
28797,362,74.0
28797,44,23.0
1046659,32,113.0
1046659,1,6.0
1046659,36,213.0
1046659,5,0.0
1046659,38,30.0
1046659,133,4.0
1046659,362,35.0
1046659,44,29.0
7659652,32,1613.0
7659652,1,1772.0
7659652,36,0.0
7659652,5,1909.0
7659652,38,63.0
7659652,133,0.0
7659652,362,1044.0
7659652,44,0.0
132,32,0.0
132,1,0.0
132,36,0.0
132,5,0.0
132,38,0.0
132,133,0.0
132,362,0.0
132,44,0.0
9101446,32,50533.0
9101446,1,0.0
9101446,36,1131.0
9101446,5,0.0
9101446,38,9055.0
9101446,133,0.0
9101446,362,3785.0
9101446,44,73444.0
9812105,32,30.0
9812105,1,0.0
9812105,36,0.0
9812105,5,0.0
9812105,38,19484.0
9812105,133,0.0
9812105,362,0.0
9812105,44,0.0
2186,32,10.0
2186,1,0.0
2186,36,5.0
2186,5,0.0
2186,38,1.0
2186,133,0.0
2186,362,0.0
2186,44,4.0
7178379,32,135.0
7178379,1,0.0
7178379,36,292.0
7178379,5,0.0
7178379,38,0.0
7178379,133,0.0
7178379,362,0.0
7178379,44,0.0
9154698,32,501.0
9154698,1,219.0
9154698,36,21.0
9154698,5,235.0
9154698,38,0.0
9154698,133,142.0
9154698,362,191.0
9154698,44,404.0
7522452,32,99402.0
7522452,1,29413.0
7522452,36,21022.0
7522452,5,12774.0
7522452,38,13491.0
7522452,133,9734.0
7522452,362,28410.0
7522452,44,81893.0
20630,32,95.0
20630,1,2.0
20630,36,34.0
20630,5,0.0
20630,38,21.0
20630,133,0.0
20630,362,17.0
20630,44,40.0
1167510,32,15.0
1167510,1,0.0
1167510,36,10.0
1167510,5,0.0
1167510,38,0.0
1167510,133,0.0
1167510,362,0.0
1167510,44,2.0
2200,32,0.0
2200,1,0.0
2200,36,0.0
2200,5,0.0
2200,38,0.0
2200,133,0.0
2200,362,0.0
2200,44,2240.0
2201,32,5191.0
2201,1,234.0
2201,36,385.0
2201,5,118.0
2201,38,640.0
2201,133,0.0
2201,362,538.0
2201,44,11074.0
9216154,32,89810.0
9216154,1,0.0
9216154,36,0.0
9216154,5,0.0
9216154,38,0.0
9216154,133,0.0
9216154,362,0.0
9216154,44,1924.0
4251,32,12679.0
4251,1,4630.0
4251,36,4967.0
4251,5,2166.0
4251,38,4243.0
4251,133,1718.0
4251,362,5258.0
4251,44,16500.0
2205,32,864.0
2205,1,0.0
2205,36,0.0
2205,5,0.0
2205,38,120.0
2205,133,0.0
2205,362,0.0
2205,44,120.0
18589,32,35604.0
18589,1,12032.0
18589,36,14941.0
18589,5,3383.0
18589,38,9080.0
18589,133,3496.0
18589,362,11141.0
18589,44,20750.0
157,32,0.0
157,1,0.0
157,36,0.0
157,5,0.0
157,38,0.0
157,133,0.0
157,362,0.0
157,44,0.0
22689,32,2172.0
22689,1,492.0
22689,36,10.0
22689,5,78.0
22689,38,0.0
22689,133,682.0
22689,362,42.0
22689,44,3.0
2216,32,18.0
2216,1,0.0
2216,36,10.0
2216,5,0.0
2216,38,1.0
2216,133,0.0
2216,362,0.0
2216,44,1.0
7389353,32,7198.0
7389353,1,1496.0
7389353,36,1847.0
7389353,5,0.0
7389353,38,1769.0
7389353,133,0.0
7389353,362,3159.0
7389353,44,11755.0
7878826,32,44881.0
7878826,1,0.0
7878826,36,1131.0
