from,to,cost
15717,19658,7.533
1377302,7347928,7.47
14443,7717407,7.738
21807,80675,6.08
14958,20370,6.224
17361,8788,7.051
21768,7185545,4.687
560,6742,4.774
130389,41279,8.655
9347186,4403,7.806
29384,5053,4.835
9249834,6759009,7.612
9559973,16411,5.865
9569766,1167510,4.793
6033822,355763,5.311
7983883,3271,11.487
17736,9750550,8.125
3271,12998,9.424
1150294,9671820,8.445
20150,22225,6.461
24503,30292,7.171
6715133,1371266,8.642
7914512,25402,8.501
3195,9705163,5.354
7635010,7635010,4.163
7983883,13,9.209
20117,130389,7.954
9805192,9519319,7.96
7994125,9692517,4.747
7471,7703457,5.215
6122,7471,5.92
9143793,24341,9.954
20087,14958,7.73
19950,22606,6.625
29384,7415761,4.782
9411275,9193391,6.149
OD,396,3.71
1373900,40053,8.034
5321468,23442,9.877
2776880,7983883,4.604
9670386,19712,4.732
17361,355763,6.847
60402,9631810,8.083
16195,14688,7.023
19615,20265,5.008
5550,4519876,6.486
7703457,9469486,5.023
9207775,21807,7.83
9146946,705187,7.707
19127,18287,5.925
11495,9099,4.84
5193,41752,8.431
53,7415788,8.004
9207775,705187,10.942
1528092,9101543,6.738
251,9638857,4.46
16675,19534,5.07
9527800,7185545,8.504
9517910,11444,5.811
7710020,83399,7.525
19950,19615,5.186
15826,3202,8.845
9705163,17855,4.642
9750550,4563409,4.961
11495,41752,9.771
1524348,30805,4.163
7193670,49913,6.813
9155490,1358316,5.118
19712,10239,7.394
7193670,9111867,7.164
5460,7634994,6.045
15825,1373242,7.586
14354,21768,9.618
7527730,6379915,7.6
21008,7685912,4.438
4236580,12733,5.115
59102,4226348,7.086
7878826,47333,11.043
OD,1369385,3.71
41279,9307303,8.73
19038,3645940,8.141
48097,2224,9.331
20630,9143793,7.931
39228,9750550,6.892
20052,1374656,7.297
132,9750541,5.288
7381182,9836209,6.119
7543298,10242,5.351
16802,11746,6.19
7464010,16925,7.356
41752,7347936,8.476
13684,11790,9.743
4236580,8907,4.512
3107558,1373390,10.046
4815700,7510,4.918
9473700,9692517,5.841
17787,9473700,8.286
705187,14451,10.27
25593,9048545,9.476
18287,70610,7.919
59102,4805712,8.721
44030,24147,4.843
7797036,3645940,5.356
60402,1377302,11.508
9272690,1358316,5.534
653080,9146962,9.303
9772677,7914512,7.892
7994117,7303718,7.902
7969961,18287,7.167
3645940,157,5.453
9111867,13927,7.52
18471,9909893,4.846
73075,4588,7.282
5775655,12831,9.97
1141902,19720,7.873
9215808,41143,9.129
17788,7218,5.923
9447342,21008,6.448
9750550,7797036,4.41
30292,21121,5.938
2763,9099875,4.945
9303189,18467,4.391
