,name,size,maxWeight,maxVolume,maxTime,start,costPerKm
0,0,11,10000,40,800,2020-01-05 06:00:00,300
1,1,4,10000,50,800,2020-01-05 06:00:00,300
2,2,11,10000,60,500,2020-01-05 06:00:00,400
3,3,11,10000,40,800,2020-01-05 06:00:00,400
4,4,11,4000,60,500,2020-01-05 06:00:00,200
5,5,11,10000,50,500,2020-01-05 06:00:00,300
6,6,4,10000,50,800,2020-01-05 06:00:00,200
7,7,4,10000,50,800,2020-01-05 06:00:00,300
8,8,11,10000,50,500,2020-01-05 06:00:00,300
9,9,11,4000,60,500,2020-01-05 06:00:00,300
10,10,11,10000,60,500,2020-01-05 06:00:00,200
11,11,11,4000,40,500,2020-01-05 06:00:00,400
12,12,4,4000,40,500,2020-01-05 06:00:00,300
13,13,4,4000,60,800,2020-01-05 06:00:00,200
14,14,4,4000,50,800,2020-01-05 06:00:00,400
15,15,11,10000,50,800,2020-01-05 06:00:00,300
16,16,4,4000,40,800,2020-01-05 06:00:00,200
17,17,4,4000,40,800,2020-01-05 06:00:00,400
18,18,4,4000,60,500,2020-01-05 06:00:00,300
19,19,11,4000,60,800,2020-01-05 06:00:00,400
20,20,4,4000,50,500,2020-01-05 06:00:00,200
21,21,11,4000,60,500,2020-01-05 06:00:00,200
22,22,11,10000,40,800,2020-01-05 06:00:00,200
23,23,4,4000,40,800,2020-01-05 06:00:00,300
24,24,11,10000,60,500,2020-01-05 06:00:00,200
