,child,parent,units
0,Dist_0001,Retail_0001,1
1,Dist_0001,Retail_0002,1
2,Dist_0001,Retail_0003,1
3,Dist_0001,Retail_0004,1
4,Dist_0001,Retail_0005,1
5,Dist_0001,Retail_0006,1
6,Dist_0001,Retail_0007,1
7,Dist_0001,Retail_0008,1
8,Dist_0001,Retail_0009,1
9,Dist_0001,Retail_0010,1
10,Dist_0001,Retail_0011,1
11,Dist_0001,Retail_0012,1
12,Dist_0001,Retail_0013,1
13,Dist_0001,Retail_0014,1
14,Dist_0001,Retail_0015,1
15,Dist_0001,Retail_0016,1
16,Dist_0001,Retail_0017,1
17,Dist_0001,Retail_0018,1
18,Dist_0001,Retail_0019,1
19,Dist_0002,Retail_0020,1
20,Dist_0002,Retail_0021,1
21,Dist_0002,Retail_0022,1
22,Dist_0002,Retail_0023,1
23,Dist_0002,Retail_0024,1
24,Dist_0002,Retail_0025,1
25,Dist_0002,Retail_0026,1
26,Dist_0002,Retail_0027,1
27,Dist_0002,Retail_0028,1
28,Dist_0002,Retail_0029,1
29,Dist_0002,Retail_0030,1
30,Dist_0002,Retail_0031,1
31,Dist_0002,Retail_0032,1
32,Dist_0002,Retail_0033,1
33,Dist_0002,Retail_0034,1
34,Dist_0002,Retail_0035,1
35,Dist_0002,Retail_0036,1
36,Dist_0002,Retail_0037,1
37,Dist_0002,Retail_0038,1
38,Dist_0003,Retail_0039,1
39,Dist_0003,Retail_0040,1
40,Dist_0003,Retail_0041,1
41,Dist_0003,Retail_0042,1
42,Dist_0003,Retail_0043,1
43,Dist_0003,Retail_0044,1
44,Dist_0003,Retail_0045,1
45,Dist_0003,Retail_0046,1
46,Dist_0003,Retail_0047,1
47,Dist_0003,Retail_0048,1
48,Dist_0003,Retail_0049,1
49,Dist_0003,Retail_0050,1
50,Dist_0003,Retail_0051,1
51,Dist_0003,Retail_0052,1
52,Dist_0003,Retail_0053,1
53,Dist_0003,Retail_0054,1
54,Dist_0003,Retail_0055,1
55,Dist_0003,Retail_0056,1
56,Dist_0003,Retail_0057,1
57,Dist_0004,Retail_0058,1
58,Dist_0004,Retail_0059,1
59,Dist_0004,Retail_0060,1
60,Dist_0004,Retail_0061,1
61,Dist_0004,Retail_0062,1
62,Dist_0004,Retail_0063,1
63,Dist_0004,Retail_0064,1
64,Dist_0004,Retail_0065,1
65,Dist_0004,Retail_0066,1
66,Dist_0004,Retail_0067,1
67,Dist_0004,Retail_0068,1
68,Dist_0004,Retail_0069,1
69,Dist_0004,Retail_0070,1
70,Dist_0004,Retail_0071,1
71,Dist_0004,Retail_0072,1
72,Dist_0004,Retail_0073,1
73,Dist_0004,Retail_0074,1
74,Dist_0004,Retail_0075,1
75,Dist_0004,Retail_0076,1
76,Dist_0005,Retail_0077,1
77,Dist_0005,Retail_0078,1
78,Dist_0005,Retail_0079,1
79,Dist_0005,Retail_0080,1
80,Dist_0005,Retail_0081,1
81,Dist_0005,Retail_0082,1
82,Dist_0005,Retail_0083,1
83,Dist_0005,Retail_0084,1
84,Dist_0005,Retail_0085,1
85,Dist_0005,Retail_0086,1
86,Dist_0005,Retail_0087,1
87,Dist_0005,Retail_0088,1
88,Dist_0005,Retail_0089,1
89,Dist_0005,Retail_0090,1
90,Dist_0005,Retail_0091,1
91,Dist_0005,Retail_0092,1
92,Dist_0005,Retail_0093,1
93,Dist_0005,Retail_0094,1
94,Dist_0005,Retail_0095,1
95,Dist_0006,Retail_0096,1
96,Dist_0006,Retail_0097,1
97,Dist_0006,Retail_0098,1
98,Dist_0006,Retail_0099,1
99,Dist_0006,Retail_0100,1
100,Dist_0006,Retail_0101,1
101,Dist_0006,Retail_0102,1
102,Dist_0006,Retail_0103,1
103,Dist_0006,Retail_0104,1
104,Dist_0006,Retail_0105,1
105,Dist_0006,Retail_0106,1
106,Dist_0006,Retail_0107,1
107,Dist_0006,Retail_0108,1
108,Dist_0006,Retail_0109,1
109,Dist_0006,Retail_0110,1
110,Dist_0006,Retail_0111,1
111,Dist_0006,Retail_0112,1
112,Dist_0006,Retail_0113,1
113,Dist_0006,Retail_0114,1
114,Dist_0007,Retail_0115,1
115,Dist_0007,Retail_0116,1
116,Dist_0007,Retail_0117,1
117,Dist_0007,Retail_0118,1
118,Dist_0007,Retail_0119,1
119,Dist_0007,Retail_0120,1
120,Dist_0007,Retail_0121,1
121,Dist_0007,Retail_0122,1
122,Dist_0007,Retail_0123,1
123,Dist_0007,Retail_0124,1
124,Dist_0007,Retail_0125,1
125,Dist_0007,Retail_0126,1
126,Dist_0007,Retail_0127,1
127,Dist_0007,Retail_0128,1
128,Dist_0007,Retail_0129,1
129,Dist_0007,Retail_0130,1
130,Dist_0007,Retail_0131,1
131,Dist_0007,Retail_0132,1
132,Dist_0007,Retail_0133,1
133,Dist_0008,Retail_0134,1
134,Dist_0008,Retail_0135,1
135,Dist_0008,Retail_0136,1
136,Dist_0008,Retail_0137,1
137,Dist_0008,Retail_0138,1
138,Dist_0008,Retail_0139,1
139,Dist_0008,Retail_0140,1
140,Dist_0008,Retail_0141,1
141,Dist_0008,Retail_0142,1
142,Dist_0008,Retail_0143,1
143,Dist_0008,Retail_0144,1
144,Dist_0008,Retail_0145,1
145,Dist_0008,Retail_0146,1
146,Dist_0008,Retail_0147,1
147,Dist_0008,Retail_0148,1
148,Dist_0008,Retail_0149,1
149,Dist_0008,Retail_0150,1
150,Dist_0008,Retail_0151,1
151,Dist_0008,Retail_0152,1
152,Dist_0009,Retail_0153,1
153,Dist_0009,Retail_0154,1
