,from_node,to_node,kind
0,3,0,plnt-plnt
1,3,1,plnt-plnt
2,4,1,plnt-plnt
3,4,2,plnt-plnt
4,5,0,plnt-plnt
5,5,2,plnt-plnt
6,6,3,plnt-plnt
7,6,5,plnt-plnt
8,7,3,plnt-plnt
9,7,4,plnt-plnt
10,7,5,plnt-plnt
11,8,3,plnt-plnt
12,8,4,plnt-plnt
13,8,5,plnt-plnt
14,9,6,plnt-plnt
15,9,7,plnt-plnt
16,9,8,plnt-plnt
17,10,6,plnt-plnt
18,10,7,plnt-plnt
19,10,8,plnt-plnt
20,11,6,plnt-plnt
21,11,7,plnt-plnt
22,11,8,plnt-plnt
23,12,9,plnt-plnt
24,12,10,plnt-plnt
25,12,11,plnt-plnt
26,13,10,plnt-plnt
27,14,10,plnt-plnt
28,14,11,plnt-plnt
