,day_type,job,period,requirement
0,weekday,1,0,1
1,weekday,1,1,2
2,weekday,1,2,2
3,weekday,1,3,2
4,weekday,1,4,3
5,weekday,1,5,3
6,weekday,1,6,3
7,weekday,1,7,2
8,weekday,1,8,2
9,weekday,1,9,2
10,weekday,1,10,1
11,weekday,1,11,1
12,weekday,2,0,1
13,weekday,2,1,2
14,weekday,2,2,2
15,weekday,2,3,2
16,weekday,2,4,3
17,weekday,2,5,4
18,weekday,2,6,4
19,weekday,2,7,4
20,weekday,2,8,4
21,weekday,2,9,3
22,weekday,2,10,2
23,weekday,2,11,1
24,sunday,1,0,1
25,sunday,1,1,2
26,sunday,1,2,2
27,sunday,1,3,2
28,sunday,1,4,3
29,sunday,1,5,3
30,sunday,1,6,3
31,sunday,1,7,3
32,sunday,1,8,2
33,sunday,1,9,2
34,sunday,1,10,1
35,sunday,1,11,1
36,sunday,2,0,1
37,sunday,2,1,1
38,sunday,2,2,1
39,sunday,2,3,2
40,sunday,2,4,2
41,sunday,2,5,2
42,sunday,2,6,2
43,sunday,2,7,2
44,sunday,2,8,2
45,sunday,2,9,1
46,sunday,2,10,1
47,sunday,2,11,1
48,holiday,1,0,1
49,holiday,1,1,2
50,holiday,1,2,2
51,holiday,1,3,2
52,holiday,1,4,3
53,holiday,1,5,3
54,holiday,1,6,4
55,holiday,1,7,3
56,holiday,1,8,2
57,holiday,1,9,1
58,holiday,1,10,1
59,holiday,1,11,1
60,holiday,2,0,1
61,holiday,2,1,1
62,holiday,2,2,1
63,holiday,2,3,2
64,holiday,2,4,3
65,holiday,2,5,3
66,holiday,2,6,2
67,holiday,2,7,2
68,holiday,2,8,2
69,holiday,2,9,1
70,holiday,2,10,1
71,holiday,2,11,1
