,demand_0,demand_1,demand_2,demand_3,demand_4,demand_5,demand_6,demand_7,demand_8,demand_9,setup_0,setup_1,setup_2,setup_3,setup_4,setup_5,setup_6,setup_7,setup_8,setup_9
0,3.0,3.0,7.0,2.0,4.0,7.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
1,1.0,4.0,5.0,1.0,1.0,5.0,2.0,8.0,4.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
2,5.0,8.0,3.0,5.0,9.0,1.0,8.0,4.0,5.0,7.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
3,2.0,6.0,7.0,3.0,2.0,9.0,4.0,6.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
4,7.0,3.0,5.0,5.0,7.0,4.0,1.0,7.0,5.0,8.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
5,7.0,8.0,2.0,6.0,8.0,3.0,5.0,9.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
6,2.0,2.0,4.0,6.0,1.0,9.0,2.0,7.0,4.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
7,6.0,8.0,3.0,4.0,4.0,4.0,9.0,7.0,8.0,7.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
8,4.0,7.0,7.0,7.0,2.0,4.0,5.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
9,6.0,9.0,7.0,9.0,2.0,1.0,4.0,2.0,4.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
10,8.0,7.0,2.0,5.0,4.0,4.0,8.0,7.0,9.0,7.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
11,5.0,5.0,8.0,1.0,1.0,9.0,9.0,5.0,9.0,7.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
12,2.0,7.0,9.0,8.0,2.0,8.0,2.0,8.0,9.0,8.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
13,2.0,4.0,2.0,9.0,8.0,6.0,2.0,3.0,6.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
14,3.0,4.0,3.0,7.0,8.0,2.0,4.0,9.0,4.0,8.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
15,4.0,4.0,6.0,7.0,1.0,9.0,8.0,8.0,5.0,5.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16,6.0,1.0,9.0,3.0,6.0,2.0,6.0,3.0,5.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
17,1.0,4.0,8.0,8.0,3.0,6.0,2.0,8.0,6.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
18,3.0,9.0,6.0,1.0,4.0,4.0,4.0,2.0,8.0,7.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
19,4.0,2.0,8.0,3.0,7.0,6.0,9.0,5.0,8.0,9.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
20,6.0,3.0,5.0,4.0,4.0,2.0,8.0,9.0,6.0,8.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
21,8.0,8.0,6.0,1.0,1.0,9.0,2.0,1.0,5.0,6.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
22,5.0,6.0,1.0,8.0,2.0,3.0,3.0,8.0,8.0,4.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
23,7.0,2.0,9.0,5.0,2.0,7.0,6.0,1.0,4.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
24,4.0,8.0,8.0,8.0,6.0,4.0,7.0,4.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
25,6.0,2.0,4.0,2.0,6.0,7.0,2.0,6.0,1.0,8.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
26,1.0,4.0,1.0,7.0,3.0,8.0,6.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
27,3.0,7.0,6.0,2.0,6.0,4.0,7.0,5.0,8.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
28,7.0,1.0,4.0,2.0,4.0,1.0,9.0,6.0,2.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
29,4.0,3.0,3.0,1.0,3.0,1.0,3.0,8.0,1.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
30,8.0,1.0,6.0,5.0,7.0,1.0,8.0,9.0,9.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
31,1.0,2.0,8.0,6.0,4.0,1.0,5.0,9.0,5.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
32,6.0,2.0,9.0,1.0,2.0,6.0,9.0,9.0,5.0,7.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
33,9.0,8.0,3.0,1.0,1.0,6.0,4.0,6.0,6.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
34,3.0,8.0,4.0,2.0,4.0,4.0,7.0,3.0,4.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
35,9.0,1.0,3.0,4.0,8.0,3.0,8.0,8.0,2.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
36,8.0,5.0,8.0,9.0,1.0,3.0,8.0,5.0,4.0,8.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
37,4.0,8.0,1.0,8.0,7.0,9.0,7.0,9.0,1.0,6.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
38,4.0,3.0,5.0,4.0,4.0,8.0,2.0,9.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
39,5.0,8.0,3.0,5.0,9.0,4.0,5.0,7.0,3.0,8.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
40,8.0,8.0,5.0,8.0,9.0,5.0,1.0,8.0,7.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
41,5.0,2.0,2.0,8.0,3.0,8.0,9.0,5.0,5.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
42,8.0,8.0,5.0,2.0,6.0,6.0,9.0,6.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
43,7.0,1.0,5.0,7.0,5.0,6.0,4.0,5.0,7.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
44,6.0,3.0,5.0,4.0,3.0,5.0,9.0,1.0,7.0,9.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
45,9.0,6.0,7.0,6.0,7.0,1.0,5.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
46,6.0,7.0,7.0,9.0,9.0,5.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
47,8.0,6.0,5.0,8.0,3.0,4.0,6.0,6.0,5.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
48,7.0,8.0,5.0,7.0,6.0,8.0,4.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
49,9.0,4.0,6.0,7.0,8.0,7.0,6.0,8.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
50,7.0,7.0,5.0,1.0,4.0,9.0,6.0,4.0,4.0,9.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
51,8.0,1.0,2.0,8.0,3.0,4.0,6.0,6.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
52,6.0,9.0,8.0,8.0,5.0,6.0,2.0,9.0,7.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
53,5.0,3.0,8.0,2.0,7.0,3.0,7.0,6.0,7.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
54,4.0,3.0,3.0,8.0,6.0,6.0,1.0,1.0,4.0,8.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
55,2.0,9.0,3.0,6.0,1.0,2.0,1.0,8.0,8.0,6.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
56,9.0,2.0,6.0,7.0,8.0,1.0,7.0,5.0,2.0,5.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
57,3.0,3.0,2.0,1.0,2.0,2.0,7.0,7.0,4.0,7.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
58,8.0,8.0,7.0,2.0,4.0,8.0,3.0,4.0,9.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
59,4.0,4.0,9.0,7.0,4.0,8.0,6.0,9.0,5.0,9.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
60,6.0,2.0,8.0,3.0,8.0,9.0,2.0,8.0,2.0,9.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
61,2.0,3.0,4.0,5.0,3.0,1.0,8.0,6.0,9.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
62,1.0,6.0,6.0,2.0,4.0,9.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
63,3.0,6.0,2.0,3.0,4.0,1.0,7.0,8.0,4.0,8.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
64,5.0,9.0,1.0,8.0,1.0,1.0,3.0,5.0,2.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
65,9.0,6.0,7.0,9.0,5.0,9.0,5.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
66,8.0,1.0,7.0,3.0,8.0,4.0,7.0,5.0,3.0,7.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
67,5.0,8.0,1.0,4.0,4.0,2.0,3.0,2.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
68,5.0,8.0,5.0,5.0,8.0,7.0,4.0,4.0,7.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
69,5.0,2.0,8.0,5.0,1.0,2.0,3.0,4.0,1.0,7.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
70,9.0,3.0,5.0,2.0,7.0,1.0,4.0,6.0,3.0,7.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
71,8.0,6.0,8.0,6.0,5.0,5.0,8.0,9.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
72,3.0,1.0,8.0,2.0,2.0,1.0,3.0,8.0,6.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
73,4.0,7.0,6.0,5.0,9.0,7.0,5.0,9.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
74,5.0,1.0,1.0,6.0,9.0,1.0,9.0,2.0,7.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
75,8.0,3.0,6.0,5.0,7.0,4.0,1.0,5.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
76,8.0,7.0,1.0,4.0,7.0,5.0,2.0,6.0,4.0,9.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
77,1.0,9.0,8.0,3.0,5.0,1.0,9.0,4.0,3.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
78,7.0,3.0,9.0,6.0,5.0,5.0,1.0,1.0,4.0,9.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
79,6.0,5.0,2.0,5.0,3.0,2.0,5.0,2.0,9.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
80,2.0,8.0,3.0,9.0,9.0,4.0,4.0,5.0,4.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
