Name,Assign,Blocked by,Blocking,日付,Property,Property 1,Status
Act[0_0],Mode[00], , ,2024年01月01日 00:00 → 2024年01月01日 05:23,duedate: inf  weight:1,"execute: {(0, 324): 1}",Not started
Act[0_1],Mode[01], , ,2024年01月01日 05:24 → 2024年01月01日 06:33,duedate: inf  weight:1,"execute: {(324, 394): 1}",Not started
Act[0_2],Mode[02], , ,2024年01月01日 14:36 → 2024年01月02日 01:14,duedate: inf  weight:1,"execute: {(876, 1515): 1}",Not started
Act[0_3],Mode[03], , ,2024年01月03日 15:32 → 2024年01月04日 05:57,duedate: inf  weight:1,"execute: {(3812, 4678): 1}",Not started
Act[0_4],Mode[04], , ,2024年01月04日 05:58 → 2024年01月04日 07:46,duedate: inf  weight:1,"execute: {(4678, 4787): 1}",Not started
Act[0_5],Mode[05], , ,2024年01月04日 07:47 → 2024年01月04日 19:18,duedate: inf  weight:1,"execute: {(4787, 5479): 1}",Not started
Act[0_6],Mode[06], , ,2024年01月04日 19:19 → 2024年01月04日 19:32,duedate: inf  weight:1,"execute: {(5479, 5493): 1}",Not started
Act[0_7],Mode[07], , ,2024年01月04日 19:33 → 2024年01月04日 20:15,duedate: inf  weight:1,"execute: {(5493, 5536): 1}",Not started
Act[0_8],Mode[08], , ,2024年01月04日 21:24 → 2024年01月05日 00:13,duedate: inf  weight:1,"execute: {(5604, 5774): 1}",Not started
Act[0_9],Mode[09], , ,2024年01月05日 00:14 → 2024年01月05日 15:43,duedate: inf  weight:1,"execute: {(5774, 6704): 1}",Not started
Act[1_0],Mode[10], , ,2024年01月01日 01:24 → 2024年01月01日 11:21,duedate: inf  weight:1,"execute: {(84, 682): 1}",Not started
Act[1_1],Mode[11], , ,2024年01月01日 17:55 → 2024年01月01日 20:08,duedate: inf  weight:1,"execute: {(1075, 1209): 1}",Not started
Act[1_2],Mode[12], , ,2024年01月01日 23:02 → 2024年01月02日 15:25,duedate: inf  weight:1,"execute: {(1382, 2366): 1}",Not started
Act[1_3],Mode[13], , ,2024年01月02日 15:26 → 2024年01月02日 16:25,duedate: inf  weight:1,"execute: {(2366, 2426): 1}",Not started
Act[1_4],Mode[14], , ,2024年01月02日 16:26 → 2024年01月03日 04:42,duedate: inf  weight:1,"execute: {(2426, 3163): 1}",Not started
Act[1_5],Mode[15], , ,2024年01月03日 04:43 → 2024年01月03日 15:31,duedate: inf  weight:1,"execute: {(3163, 3812): 1}",Not started
Act[1_6],Mode[16], , ,2024年01月03日 15:32 → 2024年01月03日 19:59,duedate: inf  weight:1,"execute: {(3812, 4080): 1}",Not started
Act[1_7],Mode[17], , ,2024年01月04日 03:22 → 2024年01月04日 16:06,duedate: inf  weight:1,"execute: {(4522, 5287): 1}",Not started
Act[1_8],Mode[18], , ,2024年01月04日 18:41 → 2024年01月05日 05:58,duedate: inf  weight:1,"execute: {(5441, 6119): 1}",Not started
Act[1_9],Mode[19], , ,2024年01月05日 09:08 → 2024年01月06日 01:45,duedate: inf  weight:1,"execute: {(6308, 7306): 1}",Not started
Act[2_0],Mode[20], , ,2024年01月01日 00:00 → 2024年01月01日 03:08,duedate: inf  weight:1,"execute: {(0, 189): 1}",Not started
Act[2_1],Mode[21], , ,2024年01月01日 05:24 → 2024年01月01日 13:18,duedate: inf  weight:1,"execute: {(324, 799): 1}",Not started
Act[2_2],Mode[22], , ,2024年01月01日 13:19 → 2024年01月01日 19:54,duedate: inf  weight:1,"execute: {(799, 1195): 1}",Not started
Act[2_3],Mode[23], , ,2024年01月01日 19:55 → 2024年01月02日 07:37,duedate: inf  weight:1,"execute: {(1195, 1898): 1}",Not started
Act[2_4],Mode[24], , ,2024年01月02日 11:17 → 2024年01月03日 03:17,duedate: inf  weight:1,"execute: {(2117, 3078): 1}",Not started
Act[2_5],Mode[25], , ,2024年01月03日 03:18 → 2024年01月03日 18:12,duedate: inf  weight:1,"execute: {(3078, 3973): 1}",Not started
Act[2_6],Mode[26], , ,2024年01月04日 01:40 → 2024年01月04日 11:41,duedate: inf  weight:1,"execute: {(4420, 5022): 1}",Not started
Act[2_7],Mode[27], , ,2024年01月05日 00:14 → 2024年01月05日 02:27,duedate: inf  weight:1,"execute: {(5774, 5908): 1}",Not started
Act[2_8],Mode[28], , ,2024年01月05日 02:28 → 2024年01月05日 09:07,duedate: inf  weight:1,"execute: {(5908, 6308): 1}",Not started
Act[2_9],Mode[29], , ,2024年01月05日 20:58 → 2024年01月05日 22:41,duedate: inf  weight:1,"execute: {(7018, 7122): 1}",Not started
Act[3_0],Mode[30], , ,2024年01月01日 00:00 → 2024年01月01日 11:33,duedate: inf  weight:1,"execute: {(0, 694): 1}",Not started
Act[3_1],Mode[31], , ,2024年01月01日 13:19 → 2024年01月02日 02:21,duedate: inf  weight:1,"execute: {(799, 1582): 1}",Not started
Act[3_2],Mode[32], , ,2024年01月02日 02:23 → 2024年01月02日 11:27,duedate: inf  weight:1,"execute: {(1583, 2128): 1}",Not started
Act[3_3],Mode[33], , ,2024年01月02日 11:28 → 2024年01月03日 03:58,duedate: inf  weight:1,"execute: {(2128, 3119): 1}",Not started
Act[3_4],Mode[34], , ,2024年01月03日 04:45 → 2024年01月03日 17:25,duedate: inf  weight:1,"execute: {(3165, 3926): 1}",Not started
Act[3_5],Mode[35], , ,2024年01月03日 17:26 → 2024年01月04日 01:39,duedate: inf  weight:1,"execute: {(3926, 4420): 1}",Not started
Act[3_6],Mode[36], , ,2024年01月04日 03:37 → 2024年01月04日 16:40,duedate: inf  weight:1,"execute: {(4537, 5321): 1}",Not started
Act[3_7],Mode[37], , ,2024年01月04日 16:41 → 2024年01月05日 07:25,duedate: inf  weight:1,"execute: {(5321, 6206): 1}",Not started
Act[3_8],Mode[38], , ,2024年01月05日 07:26 → 2024年01月05日 21:45,duedate: inf  weight:1,"execute: {(6206, 7066): 1}",Not started
Act[3_9],Mode[39], , ,2024年01月05日 22:42 → 2024年01月05日 22:54,duedate: inf  weight:1,"execute: {(7122, 7135): 1}",Not started
Act[4_0],Mode[40], , ,2024年01月01日 00:00 → 2024年01月01日 01:43,duedate: inf  weight:1,"execute: {(0, 104): 1}",Not started
Act[4_1],Mode[41], , ,2024年01月01日 13:14 → 2024年01月02日 03:45,duedate: inf  weight:1,"execute: {(794, 1666): 1}",Not started
Act[4_2],Mode[42], , ,2024年01月02日 19:03 → 2024年01月03日 05:43,duedate: inf  weight:1,"execute: {(2583, 3224): 1}",Not started
Act[4_3],Mode[43], , ,2024年01月03日 05:45 → 2024年01月03日 13:50,duedate: inf  weight:1,"execute: {(3225, 3711): 1}",Not started
Act[4_4],Mode[44], , ,2024年01月03日 17:26 → 2024年01月03日 22:55,duedate: inf  weight:1,"execute: {(3926, 4256): 1}",Not started
Act[4_5],Mode[45], , ,2024年01月03日 22:56 → 2024年01月04日 07:39,duedate: inf  weight:1,"execute: {(4256, 4780): 1}",Not started
Act[4_6],Mode[46], , ,2024年01月04日 09:30 → 2024年01月04日 18:40,duedate: inf  weight:1,"execute: {(4890, 5441): 1}",Not started
Act[4_7],Mode[47], , ,2024年01月04日 18:41 → 2024年01月04日 23:27,duedate: inf  weight:1,"execute: {(5441, 5728): 1}",Not started
Act[4_8],Mode[48], , ,2024年01月05日 18:30 → 2024年01月06日 07:27,duedate: inf  weight:1,"execute: {(6870, 7648): 1}",Not started
Act[4_9],Mode[49], , ,2024年01月06日 07:28 → 2024年01月06日 13:58,duedate: inf  weight:1,"execute: {(7648, 8039): 1}",Not started
Act[5_0],Mode[50], , ,2024年01月01日 01:44 → 2024年01月01日 17:54,duedate: inf  weight:1,"execute: {(104, 1075): 1}",Not started
